index,id_unit,id_unit_role,id_num,vm_unit_type,unit_type,grouped_unit_type,vignette,echelon,joint_phase,role,Mine_or_IED,Small_Caliber,Side_IED_or_EFP,RPG,Medium_Caliber,IDF,Non_Kinetic,Trafficability,Soft_Soil,Max_Speed,Cross_Country_Speed,Dash_Speed,Roll_Over_Potential,Turning_Diameter,Fording,mobility,force_protection,deep,close,support,on_road,off_road
40,1,8,A13,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 4,EAB,III,Prime Mover,10,5,5,5,5,20,3,9,7,10,5,10,3,1,2,47,53,0,10,90,90,10
41,13,58,A14,Cavalry Squadron HQ,Cavalry Squadron HQ,BCT BN or BDE HQs,Vignette 4,ABCT,III,Command and Control,5,7,2,5,3,11,3,11,7,11,9,9,5,8,4,64,36,0,90,10,30,70
42,13,59,A14,Cavalry Squadron HQ,Cavalry Squadron HQ,BCT BN or BDE HQs,Vignette 4,ABCT,III,Logistics Transport,10,10,3,10,3,7,3,10,8,8,5,2,5,8,8,54,46,0,70,30,80,20
43,13,60,A14,Cavalry Squadron HQ,Cavalry Squadron HQ,BCT BN or BDE HQs,Vignette 4,ABCT,III,Admin-C4I,5,9,2,7,7,10,3,10,7,6,9,9,5,8,3,57,43,0,70,30,80,20
44,13,62,A14,Cavalry Squadron HQ,Cavalry Squadron HQ,BCT BN or BDE HQs,Vignette 4,ABCT,III,Gun Truck,5,9,2,7,7,10,3,10,7,6,9,9,5,8,3,57,43,0,100,0,80,20
45,13,63,A14,Cavalry Squadron HQ,Cavalry Squadron HQ,BCT BN or BDE HQs,Vignette 4,ABCT,III,Retrans Vehicle,5,7,2,5,3,11,3,11,7,11,9,9,5,8,4,64,36,0,100,0,30,70
46,3,11,A15,Cavalry TRP,Cavalry TRP,Maneuver,Vignette 4,ABCT,III,Logistics Transport,10,10,0,10,10,10,10,10,10,0,10,10,0,0,0,40,60,0,50,50,50,50
47,4,14,A16,Combined Arms BN HQ,Combined Arms BN HQ,BCT BN or BDE HQs,Vignette 4,ABCT,III,Command and Control,0,30,0,0,0,20,0,30,10,0,10,0,0,0,0,50,50,0,100,0,30,70
48,4,15,A16,Combined Arms BN HQ,Combined Arms BN HQ,BCT BN or BDE HQs,Vignette 4,ABCT,III,Logistics Transport,0,30,0,0,0,20,0,30,10,0,10,0,0,0,0,50,50,0,100,0,30,70
49,5,16,A18,EAB Engineer CO,EAB Engineer CO,EAB Combat Support,Vignette 4,EAB,III,Command and Control,2,8,2,2,8,13,1,15,10,6,12,4,4,6,7,64,36,0,90,10,30,70
50,5,17,A18,EAB Engineer CO,EAB Engineer CO,EAB Combat Support,Vignette 4,EAB,III,Logistics Transport,2,7,2,2,7,13,1,15,10,5,12,3,8,5,8,66,34,0,90,10,70,30
51,1,2,A1,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 4,EAB,III,Command and Control,15,10,10,10,10,20,0,5,5,5,0,10,0,0,0,25,75,0,50,50,50,50
52,1,3,A1,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 4,EAB,III,Logistics Transport,15,10,10,10,10,20,0,5,5,5,0,10,0,0,0,25,75,0,65,35,70,30
53,1,20,A1,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 4,EAB,III,Maintenance Contact Truck,15,10,10,10,10,20,0,5,5,5,0,10,0,0,0,25,75,0,65,35,60,40
54,6,21,A2,ABCT HQ,ABCT HQ,BCT BN or BDE HQs,Vignette 4,ABCT,III,Command and Control,10,15,10,0,0,10,0,15,0,0,15,15,10,0,0,55,45,0,80,20,30,70
55,6,22,A2,ABCT HQ,ABCT HQ,BCT BN or BDE HQs,Vignette 4,ABCT,III,Logistics Transport,10,15,10,0,0,10,0,15,0,0,15,15,10,0,0,55,45,0,70,30,40,60
56,6,23,A2,ABCT HQ,ABCT HQ,BCT BN or BDE HQs,Vignette 4,ABCT,III,Admin-C4I,15,15,15,15,0,5,0,5,0,0,10,0,15,5,0,35,65,0,80,20,40,60
57,7,26,A3,BCT Engineer CO,BCT Engineer CO,BCT Combat Support,Vignette 4,ABCT,III,Command and Control,10,30,10,0,5,10,0,30,0,0,0,5,0,0,0,35,65,0,80,20,60,40
58,7,27,A3,BCT Engineer CO,BCT Engineer CO,BCT Combat Support,Vignette 4,ABCT,III,Logistics Transport,10,30,10,0,0,5,0,30,0,0,0,5,5,5,0,45,55,0,70,30,60,40
59,8,30,A4,BCT Signal CO,BCT Signal CO,BCT Combat Support,Vignette 4,ABCT,III,Command and Control,15,10,15,2,0,5,2,15,10,2,10,2,2,10,0,51,49,0,100,0,75,25
60,8,31,A4,BCT Signal CO,BCT Signal CO,BCT Combat Support,Vignette 4,ABCT,III,Admin-C4I,5,5,10,10,0,15,0,10,10,10,5,10,0,10,0,55,45,0,100,0,75,25
61,8,33,A4,BCT Signal CO,BCT Signal CO,BCT Combat Support,Vignette 4,ABCT,III,Retrans Vehicle,10,3,10,10,2,15,1,13,5,0,15,4,5,2,5,49,51,0,100,0,20,80
62,9,34,A5,BCT MI CO,BCT MI CO,BCT Combat Support,Vignette 4,ABCT,III,Command and Control,15,5,15,0,0,15,0,20,0,0,15,10,5,0,0,50,50,0,100,0,30,70
63,9,35,A5,BCT MI CO,BCT MI CO,BCT Combat Support,Vignette 4,ABCT,III,Gun Truck,10,0,10,5,0,20,0,2,13,9,11,14,6,0,0,55,45,0,100,0,50,50
64,9,36,A5,BCT MI CO,BCT MI CO,BCT Combat Support,Vignette 4,ABCT,III,Intel Collection,7,0,7,5,0,14,0,9,20,0,8,11,14,5,0,67,33,0,100,0,30,70
65,10,37,A6,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 4,ABCT,III,Command and Control,15,0,15,15,0,20,0,10,10,6,0,9,0,0,0,35,65,0,100,0,100,0
66,10,38,A6,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 4,ABCT,III,Logistics Transport,15,0,10,15,12,15,0,15,8,0,0,8,0,2,0,33,67,0,100,0,90,10
67,10,39,A6,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 4,ABCT,III,Admin-C4I,15,0,0,20,0,20,0,15,10,0,0,0,10,10,0,45,55,0,90,10,90,10
68,10,43,A6,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 4,ABCT,III,Maintenance Contact Truck,10,0,5,20,5,10,0,20,10,5,0,0,5,5,5,50,50,0,100,0,80,20
69,11,44,A8,BCT Transportation CO,BCT Transportation CO,BCT Sustainment,Vignette 4,ABCT,III,Command and Control,15,15,5,10,3,0,0,15,3,6,10,0,9,9,0,52,48,0,95,5,75,25
70,12,48,A9,BCT Maintenance CO,BCT Maintenance CO,BCT Sustainment,Vignette 4,ABCT,III,Command and Control,17,22,7,12,10,5,0,7,5,5,5,0,0,5,0,27,73,0,90,10,70,30
71,12,49,A9,BCT Maintenance CO,BCT Maintenance CO,BCT Sustainment,Vignette 4,ABCT,III,Logistics Transport,17,17,7,10,7,5,0,12,5,5,5,0,5,5,0,37,63,0,90,10,70,30
72,12,50,A9,BCT Maintenance CO,BCT Maintenance CO,BCT Sustainment,Vignette 4,ABCT,III,Admin-C4I,20,20,5,5,15,5,0,10,0,0,5,10,0,5,0,30,70,0,90,10,70,30
73,12,53,A9,BCT Maintenance CO,BCT Maintenance CO,BCT Sustainment,Vignette 4,ABCT,III,Maintenance Contact Truck,15,15,7,10,7,5,0,16,5,5,5,0,5,5,0,41,59,0,100,0,80,20
74,1,2,A10,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 2,EAB,III,Command and Control,7,7,7,7,7,7,9,8,6,7,7,8,6,6,1,49,51,0,20,80,70,30
75,1,3,A10,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 2,EAB,III,Logistics Transport,9,9,9,7,9,6,2,10,6,5,3,7,9,7,2,49,51,0,30,70,75,25
76,2,5,A11,EAB Quartermaster CO,EAB Quartermaster CO,EAB Sustainment,Vignette 2,EAB,III,Command and Control,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,40,60,0,5,95,95,5
77,2,6,A11,EAB Quartermaster CO,EAB Quartermaster CO,EAB Sustainment,Vignette 2,EAB,III,Logistics Transport,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,40,60,0,5,95,90,10
78,2,54,A11,EAB Quartermaster CO,EAB Quartermaster CO,EAB Sustainment,Vignette 2,EAB,III,Admin-C4I,10,10,5,10,10,5,5,5,5,10,5,5,10,0,5,45,55,0,10,90,90,10
79,1,2,A13,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 2,EAB,III,Command and Control,20,5,8,10,6,10,5,5,5,7,5,5,5,1,3,36,64,0,10,90,95,5
80,1,3,A13,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 2,EAB,III,Logistics Transport,20,5,8,10,5,10,5,7,6,6,6,5,5,1,1,37,63,0,10,90,95,5
81,1,8,A13,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 2,EAB,III,Prime Mover,20,5,8,10,6,10,5,5,5,7,5,5,5,1,3,36,64,0,10,90,95,5
82,13,58,A14,Cavalry Squadron HQ,Cavalry Squadron HQ,BCT BN or BDE HQs,Vignette 2,ABCT,III,Command and Control,10,10,5,5,5,10,5,5,10,10,7,5,5,5,3,50,50,0,90,10,30,70
83,13,59,A14,Cavalry Squadron HQ,Cavalry Squadron HQ,BCT BN or BDE HQs,Vignette 2,ABCT,III,Logistics Transport,10,10,3,10,3,7,3,10,8,8,5,2,5,8,8,54,46,0,70,30,80,20
84,13,63,A14,Cavalry Squadron HQ,Cavalry Squadron HQ,BCT BN or BDE HQs,Vignette 2,ABCT,III,Retrans Vehicle,2,3,1,3,3,15,7,15,10,5,8,5,8,8,7,66,34,0,100,0,30,70
85,3,11,A15,Cavalry TRP,Cavalry TRP,Maneuver,Vignette 2,ABCT,III,Logistics Transport,10,10,0,10,10,10,0,10,10,0,10,10,0,10,0,50,50,0,50,50,50,50
86,4,14,A16,Combined Arms BN HQ,Combined Arms BN HQ,BCT BN or BDE HQs,Vignette 2,ABCT,III,Command and Control,5,20,0,0,0,5,0,45,10,0,10,5,0,0,0,70,30,0,100,0,30,70
87,4,15,A16,Combined Arms BN HQ,Combined Arms BN HQ,BCT BN or BDE HQs,Vignette 2,ABCT,III,Logistics Transport,5,20,0,0,0,5,0,45,10,0,10,5,0,0,0,70,30,0,100,0,30,70
88,5,16,A18,EAB Engineer CO,EAB Engineer CO,EAB Combat Support,Vignette 2,EAB,III,Command and Control,7,8,7,2,8,8,1,15,10,5,10,4,4,5,6,59,41,0,90,10,30,70
89,5,17,A18,EAB Engineer CO,EAB Engineer CO,EAB Combat Support,Vignette 2,EAB,III,Logistics Transport,7,8,7,2,8,8,1,15,10,4,10,4,5,5,6,59,41,0,90,10,70,30
90,1,2,A1,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 2,EAB,III,Command and Control,15,20,15,5,0,5,0,10,10,5,5,10,0,0,0,40,60,0,50,50,50,50
91,1,3,A1,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 2,EAB,III,Logistics Transport,20,25,15,5,0,5,0,10,5,10,0,5,0,0,0,30,70,0,65,35,70,30
92,1,20,A1,EAB Transportation CO,EAB Transportation CO,EAB Sustainment,Vignette 2,EAB,III,Maintenance Contact Truck,15,20,15,5,0,5,0,10,10,5,5,10,0,0,0,40,60,0,65,35,60,40
93,6,21,A2,ABCT HQ,ABCT HQ,BCT BN or BDE HQs,Vignette 2,ABCT,III,Command and Control,10,15,15,15,0,0,0,15,0,0,15,0,10,5,0,45,55,0,80,20,30,70
94,6,22,A2,ABCT HQ,ABCT HQ,BCT BN or BDE HQs,Vignette 2,ABCT,III,Logistics Transport,10,15,15,15,0,0,0,15,0,0,15,0,10,5,0,45,55,0,70,30,40,60
95,6,23,A2,ABCT HQ,ABCT HQ,BCT BN or BDE HQs,Vignette 2,ABCT,III,Admin-C4I,15,15,15,15,0,5,0,5,0,0,10,0,15,5,0,35,65,0,80,20,40,60
96,7,26,A3,BCT Engineer CO,BCT Engineer CO,BCT Combat Support,Vignette 2,ABCT,III,Command and Control,10,30,10,0,0,0,0,30,0,0,5,5,5,5,0,50,50,0,80,20,60,40
97,7,27,A3,BCT Engineer CO,BCT Engineer CO,BCT Combat Support,Vignette 2,ABCT,III,Logistics Transport,0,40,0,0,0,0,0,40,0,0,5,5,5,5,0,60,40,0,70,30,60,40
98,8,30,A4,BCT Signal CO,BCT Signal CO,BCT Combat Support,Vignette 2,ABCT,III,Command and Control,15,10,15,5,0,10,2,15,2,2,10,2,2,10,0,43,57,0,100,0,75,25
99,8,31,A4,BCT Signal CO,BCT Signal CO,BCT Combat Support,Vignette 2,ABCT,III,Admin-C4I,11,6,11,11,0,11,6,11,6,5,6,5,0,11,0,44,56,0,100,0,75,25
100,8,33,A4,BCT Signal CO,BCT Signal CO,BCT Combat Support,Vignette 2,ABCT,III,Retrans Vehicle,10,5,10,10,2,10,2,15,2,2,15,2,5,5,5,51,49,0,100,0,20,80
101,9,34,A5,BCT MI CO,BCT MI CO,BCT Combat Support,Vignette 2,ABCT,III,Command and Control,10,20,10,10,0,0,0,20,0,0,15,10,5,0,0,50,50,0,100,0,30,70
102,9,35,A5,BCT MI CO,BCT MI CO,BCT Combat Support,Vignette 2,ABCT,III,Gun Truck,10,25,5,10,0,0,0,2,5,9,11,14,6,0,3,50,50,0,100,0,50,50
103,9,36,A5,BCT MI CO,BCT MI CO,BCT Combat Support,Vignette 2,ABCT,III,Intel Collection,0,25,0,15,0,0,0,9,8,0,8,11,14,10,0,60,40,0,100,0,30,70
104,10,37,A6,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 2,ABCT,III,Command and Control,12,2,10,15,2,10,2,10,10,6,6,6,3,3,3,47,53,0,100,0,100,0
105,10,38,A6,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 2,ABCT,III,Logistics Transport,15,2,10,15,12,8,0,12,2,2,0,8,2,12,0,38,62,0,100,0,90,10
106,10,39,A6,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 2,ABCT,III,Admin-C4I,15,0,0,20,0,20,0,15,10,0,0,0,10,10,0,45,55,0,90,10,90,10
107,10,43,A6,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 2,ABCT,III,Maintenance Contact Truck,10,0,5,20,5,10,0,20,10,5,0,0,5,5,5,50,50,0,100,0,80,20
108,11,44,A8,BCT Transportation CO,BCT Transportation CO,BCT Sustainment,Vignette 2,ABCT,III,Command and Control,15,15,5,10,3,0,0,15,13,0,0,6,9,9,0,52,48,0,95,5,75,25
109,12,48,A9,BCT Maintenance CO,BCT Maintenance CO,BCT Sustainment,Vignette 2,ABCT,III,Command and Control,17,17,7,10,7,5,0,12,5,5,5,0,5,5,0,37,63,0,90,10,70,30
110,12,49,A9,BCT Maintenance CO,BCT Maintenance CO,BCT Sustainment,Vignette 2,ABCT,III,Logistics Transport,17,17,7,10,7,5,0,12,5,5,5,0,5,5,0,37,63,0,90,10,70,30
111,12,50,A9,BCT Maintenance CO,BCT Maintenance CO,BCT Sustainment,Vignette 2,ABCT,III,Admin-C4I,20,20,5,5,15,5,0,10,0,0,5,10,0,5,0,30,70,0,90,10,70,30
112,12,53,A9,BCT Maintenance CO,BCT Maintenance CO,BCT Sustainment,Vignette 2,ABCT,III,Maintenance Contact Truck,15,15,7,10,7,5,0,16,5,5,5,0,5,5,0,41,59,0,100,0,80,20
113,14,65,I10,BCT Engineer CO,BCT Engineer CO,BCT Combat Support,Vignette 1,IBCT,III,Command and Control,0,10,0,0,0,0,0,50,20,0,0,0,20,0,0,90,10,0,100,0,70,30
114,14,66,I10,BCT Engineer CO,BCT Engineer CO,BCT Combat Support,Vignette 1,IBCT,III,Gun Truck,0,10,0,0,0,0,0,50,10,0,10,0,20,0,0,90,10,0,100,0,50,50
115,14,67,I10,BCT Engineer CO,BCT Engineer CO,BCT Combat Support,Vignette 1,IBCT,III,Logistics Transport,0,10,0,0,0,0,0,20,20,20,0,0,30,0,0,90,10,0,30,70,80,20
116,14,68,I10,BCT Engineer CO,BCT Engineer CO,BCT Combat Support,Vignette 1,IBCT,III,Prime Mover,0,10,0,0,0,0,0,20,20,20,0,0,30,0,0,90,10,0,30,70,80,20
117,14,69,I10,BCT Engineer CO,BCT Engineer CO,BCT Combat Support,Vignette 1,IBCT,III,Recon,0,0,0,0,0,0,0,50,0,10,10,10,20,0,0,100,0,0,100,0,30,70
118,15,71,I11,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 1,IBCT,III,Admin-C4I,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,50,50,0,100,0,100,0
119,15,72,I11,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 1,IBCT,III,Command and Control,5,5,5,5,5,0,0,10,10,10,35,0,10,0,0,75,25,0,100,0,100,0
120,15,74,I11,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 1,IBCT,III,Logistics Transport,0,0,0,0,0,0,0,0,30,0,10,0,10,50,0,100,0,0,90,10,90,10
121,15,75,I11,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 1,IBCT,III,Maintenance Contact Truck,10,10,10,5,10,0,0,0,10,0,25,0,10,10,0,55,45,0,90,10,90,10
122,15,76,I11,BCT Forward Support CO,BCT Forward Support CO,BCT Sustainment,Vignette 1,IBCT,III,Prime Mover,20,0,20,0,0,0,0,0,10,0,0,0,0,50,0,60,40,0,100,0,100,0
123,16,80,I12,BCT Transportation CO,BCT Transportation CO,BCT Sustainment,Vignette 1,IBCT,III,Command and Control,10,10,10,10,10,30,0,0,0,10,0,10,0,0,0,20,80,0,60,40,100,0
124,17,85,I13,Cavalry TRP,Cavalry TRP,Maneuver,Vignette 1,IBCT,III,Command and Control,0,0,0,25,25,0,0,0,25,0,0,0,25,0,0,50,50,10,80,10,40,60
125,17,87,I13,Cavalry TRP,Cavalry TRP,Maneuver,Vignette 1,IBCT,III,Gun Truck,0,25,0,25,0,0,0,25,25,0,0,0,0,0,0,50,50,20,70,10,20,80
126,17,88,I13,Cavalry TRP,Cavalry TRP,Maneuver,Vignette 1,IBCT,III,Logistics Transport,0,0,0,25,25,0,0,0,0,25,0,25,0,0,0,50,50,0,70,30,90,10
127,17,89,I13,Cavalry TRP,Cavalry TRP,Maneuver,Vignette 1,IBCT,III,Recon,0,15,0,0,0,0,0,15,25,0,15,0,15,15,0,85,15,20,70,10,20,80
128,16,80,I15,BCT Transportation CO,BCT Transportation CO,BCT Sustainment,Vignette 1,IBCT,III,Command and Control,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,50,50,0,100,0,95,5
129,19,99,I16,BCT MI CO,BCT MI CO,BCT Combat Support,Vignette 1,IBCT,III,Admin-C4I,10,10,10,10,10,0,0,10,10,10,10,0,10,0,0,50,50,0,50,50,90,10
130,19,100,I16,BCT MI CO,BCT MI CO,BCT Combat Support,Vignette 1,IBCT,III,Command and Control,10,10,10,10,10,0,0,10,10,10,10,0,10,0,0,50,50,0,75,25,90,10
